id,name,type,rti_status,portfolio_minister,rti_page_url,disclosure_log_url,disclosure_log_format,disclosure_log_url_evidence,verification_status,notes,search_status
state_growth,Department of State Growth,agency,full,"(historical) Infrastructure; Business, Industry and Resources; Energy and Renewables; Tourism/Hospitality and Events; Arts; Sport; Skills and Jobs; Small Business; Trade",https://www.stategrowth.tas.gov.au/about/right_to_information/how_to_make_an_rti_application,https://www.stategrowth.tas.gov.au/about/right_to_information/disclosure_log,unknown,snippet_verified,network_blocked_search_only,Kept active for polling of the legacy stategrowth.tas.gov.au log until building_tas has its own log URL. [original: Renamed/transformed into Building Tasmania on 2026-07-02 (snippet_verified: Wikipedia 'Building Tasmania' and DPAC HoSS message). Successor: building_tas. Snippet: releases published within 2 working days. Whether the stategrowth.tas.gov.au disclosure log remains online/redirects after 2 Jul 2026 is],searched_found
state_planning_office,State Planning Office,business_unit,via_parent,Housing and Planning (Kerry Vincent),,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Moved from DPAC to Building Tasmania in 2026 (snippet 'will become part of Building Tasmania'; exact date UNCERTAIN, likely 2026-07-02). Formerly Planning Policy Unit (planningreform.tas.gov.au snippet; rename date UNCERTAIN).]",not_searched
stt,Sustainable Timber Tasmania,gbe,full,Minister for Resources,,,unknown,"log exists per ABC 2026-05-20 (snippet_verified, search summary) but URL not seen; sttas.com.au blocked",network_blocked_search_only,"Trading name adopted 2017 (memory; date 2017-07-01 supplied by caller, not seen). Portfolio minister title is memory (may now be styled Minister for Business, Industry and Resources). Under privatisation assessment (May 2025, search summary).",searched_none_found
supreme_court,Supreme Court of Tasmania,other,partial,,,,unknown,,network_blocked_search_only,Administrative support via Justice (memory).,searched_none_found
talc,Tasmanian Aboriginal Land Council,statutory,UNCERTAIN,,,,unknown,,network_blocked_search_only, No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
tas_development_board,Tasmanian Development Board,statutory,full,,,,unknown,,network_blocked_search_only,Tasmanian Development Act 1983 (memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
tas_irrigation,Tasmanian Irrigation,soc,full,Minister for Primary Industries and Water,,,unknown,"searched, none found",network_blocked_search_only,"Website URL is memory (not seen). Portfolio minister title is memory. Under privatisation assessment (May 2025, search summary).",not_searched
tas_police,Tasmania Police (Police Service),other,full,"Police, Fire and Emergency Management (Felix Ellis)",https://www.police.tas.gov.au/information-disclosure/right-to-information-disclosures/,https://www.police.tas.gov.au/information-disclosure/right-to-information-disclosures/disclosures/disclosure-log/,unknown,snippet_verified,network_blocked_search_only,Assessed-disclosure page https://www.police.tas.gov.au/information-disclosure/right-to-information-disclosures/applications-for-assessed-disclosure/ seen. Right to Know has a body page https://www.righttoknow.org.au/body/tasmania_police.,searched_found
tas_prison_service,Tasmania Prison Service,business_unit,via_parent,"Justice, Corrections and Rehabilitation (Guy Barnett)",,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original:  No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
tasc,"Office of Tasmanian Assessment, Standards and Certification",statutory,full,,,,unknown,,network_blocked_search_only,Memory. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
tascat,Tasmanian Civil and Administrative Tribunal,other,partial,,,,unknown,,network_blocked_search_only,Memory: commenced 2021-11-05 amalgamating many tribunals/boards (see mog_changes). Date UNCERTAIN.,not_searched
tascorp,Tasmanian Public Finance Corporation,gbe,full,Treasurer,,,unknown,not searched (search budget exhausted),network_blocked_search_only,Whether Tascorp is currently in GBE Act Sch 1 or governed solely by its own Act is UNCERTAIN (memory: it was brought under the GBE Act; the Treasury list seen treats it as a GBE). Sole Minister = Treasurer (memory). Website is memory. Retained in public hands per May 2025 review (search summary). Much of its information would attract s 38 (business affairs) exemptions but it is not excluded. [merged from slice state_bodies: Memory. Possible overlap with slice (b). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.],not_searched
tasman_c,Tasman Council,council,full,Minister for Local Government (memory),https://www.tasman.tas.gov.au/council-documents/right-to-information/,,unknown,,network_blocked_search_only,"Nubeena. Do not confuse with Tasman District Council (NZ, tasman.govt.nz). ABS LGA code (memory, unverified): 65410. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",searched_none_found
tasnetworks,TasNetworks,soc,full,Minister for Energy and Renewables,https://www.tasnetworks.com.au/Documents/Manual-documents/Policies/Right-to-Information-Policy,,unknown,none seen. A search summary said TasNetworks was among the businesses that had not responded to the Premier's disclosure-log request (UNCERTAIN - the ABC 'other nine' were not individually named in any output seen).,network_blocked_search_only,"Email and postal address (Right to Information Officer, PO Box 606, Moonah TAS 7009) from search summary of the RTI policy (snippet_verified, search summary). Formed 1 July 2014 from the merger of Transend Networks and Aurora Energy's distribution business (memory; Wikipedia 'Transend Networks' result returned but content not seen). Under privatisation assessment (May 2025, search summary). Marinus Link Pty Ltd was a TasNetworks subsidiary until restructured (memory) - see marinuslink.",searched_none_found
tasports,TasPorts,soc,full,Minister for Infrastructure and Transport,https://tasports.com.au/corporate,,unknown,"UNCERTAIN. Search summary of the Governance page says released information 'will be published online within 48 hours' and is 'accessible via the disclosure log', so a log appears to exist on or under https://tasports.com.au/corporate, but no distinct log URL was returned. A search summary also (without clear support) placed TasPorts among the nine non-responders as of May 2026 - conflicting.",network_blocked_search_only,"Fee 25 fee units ($47.75 'as at 1 July', year unspecified) per search summary. Right to Know body page: https://www.righttoknow.org.au/body/tasports (snippet_verified). Formed 2006 by merger of the four regional port companies (memory). Under privatisation assessment (May 2025, search summary).",searched_none_found
tasracing,Tasracing,soc,full,Minister for Racing,,https://tasracing.com.au/corporate/right-to-information-disclosure-log,unknown,"snippet_verified (result URL, title 'Right To Information Disclosure Log'). ABC 2026-05-20 (search summary): Tasracing 'would set them up' - so the log is likely new (post-May 2026).",network_blocked_search_only,Named in the March 2026 parliamentary disclosure-log motion (search summary). Retained in public hands per May 2025 review (search summary).,searched_found
tasrail,TasRail,soc,full,Minister for Infrastructure and Transport,https://www.tasrail.com.au/right-to-information,,unknown,"none seen; a search summary suggested TasRail had not responded to the Premier's request (UNCERTAIN, not individually named in output seen)",network_blocked_search_only,rti_contact_email NAA@tasrail.com.au is from a search summary ('TasRail's preference is that requests for information be made via email to NAA@tasrail.com.au') - the address looks like a rail-access mailbox and may be a summariser error; verify before use. Retained in public hands per May 2025 review (search summary).,not_searched
tastafe,TasTAFE,statutory,full,Skills and Jobs (Felix Ellis),,,unknown,,network_blocked_search_only,TasTAFE (Skills and Training Business) Act 2021 (memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
taswater,Tasmanian Water and Sewerage Corporation Pty Ltd,council_entity,full,Treasurer / Minister for Local Government (memory; UNCERTAIN),https://www.taswater.com.au/about-us/governance-and-policies/right-to-information-guidance,,unknown,not searched (search budget exhausted),network_blocked_search_only,"Slice (b) may also claim TasWater because the State is a shareholder, so dedupe across slices. It is placed here as council-owned. The ownership split and the Act's name are from memory. [merged from slice gbe_soc: Owned by Tasmanian councils; the State took up a minority shareholding under a 2018 agreement (memory, UNCERTAIN - not seen). Formed 1 July 2013 from merger of Ben Lomond Water, Cradle Mountain Water, Southern Water and the Onstream service company (memory). May belong in the council/local-government slice instead - dedupe. Website is memory.]",not_searched
tcf,Tasmanian Community Fund,statutory,full,,,,unknown,,network_blocked_search_only,Tasmanian Community Fund Act 2005; board appointed by Governor (memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
tec,Tasmanian Electoral Commission,statutory,full,,,,unknown,,network_blocked_search_only,Electoral Act 2004 (memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
tect,"Tourism, Events and Creative Tasmania",agency,UNCERTAIN,"Tourism, Hospitality and Events; the Arts (Roger Jaensch); Sport (Nick Duigan)",,,unknown,,network_blocked_search_only,PLANNED: to be established 2026-12-03 (snippet Q9); includes all sport functions. Name appears in two orders in snippets. Set active:false until commencement confirmed.,not_searched
teyf,Tasmanian Early Years Foundation,statutory,UNCERTAIN,,,,unknown,,network_blocked_search_only, No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
tfs,Tasmania Fire Service,business_unit,via_parent,"Police, Fire and Emergency Management (Felix Ellis)",,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Operational arm of State Fire Commission within DPFEM (memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
theatre_royal,Theatre Royal Management Board,statutory,full,the Arts (Roger Jaensch),,,unknown,,network_blocked_search_only,Memory. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
ths,Tasmanian Health Service,statutory,full,"Health, Mental Health and Wellbeing (Bridget Archer)",,,unknown,,network_blocked_search_only,"Memory: statutory body under Tasmanian Health Service Act 2018, operationally integrated in Department of Health; RTI handled by Department of Health. Separate-authority status UNCERTAIN. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.",not_searched
tic,Tasmanian Industrial Commission,statutory,UNCERTAIN,,,,unknown,,network_blocked_search_only,Memory only. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
tis,Tasmanian Institute of Sport,business_unit,via_parent,Sport (Nick Duigan),,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Memory: program of Sport and Recreation Tasmania, not separate statutory body - UNCERTAIN. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
tlgc,Tasmanian Liquor and Gaming Commission,statutory,full,UNCERTAIN (Finance portfolio held by Jaensch Oct 2024-Aug 2025; no Finance minister identified in 3rd ministry),,https://www.treasury.tas.gov.au/about-us/corporate-governance/right-to-information/right-to-information-disclosure-log,unknown,inferred,network_blocked_search_only,"Audit #8: TLGC's log URL is Treasury's; polled once under treasury. [original: RTI for TLGC appears to be processed by Treasury (TLGC internal-review release hosted on treasury.tas.gov.au, Q26) - disclosure log inferred to be Treasury's. Campaign-relevant (pokies): Greens criticised 'pokies backdown' Sep 2026 (snippet).]",not_searched
tmag,Tasmanian Museum and Art Gallery,statutory,full,the Arts (Roger Jaensch),,,unknown,,network_blocked_search_only,Tasmanian Museum and Art Gallery Act 2017; Board of Trustees (memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
tourism_tas,Tourism Tasmania,statutory,full,"Tourism, Hospitality and Events (Roger Jaensch)",,,unknown,,network_blocked_search_only,Snippet: statutory authority since 1997; stand-alone State Authority from 1 July 2014. Relationship to TECT from Dec 2026 UNCERTAIN.,not_searched
tpc,Tasmanian Planning Commission,statutory,full,Housing and Planning (Kerry Vincent),https://www.planning.tas.gov.au/other-resources/right-to-information,https://www.planning.tas.gov.au/other-resources/right-to-information/right-to-information-disclosure-log,unknown,snippet_verified,network_blocked_search_only,Snippet: log provides information of wider public interest released under the Act.,searched_found
transend,Transend Networks,soc,full,Minister for Energy,,,unknown,,network_blocked_search_only,"Historical only. Merged with Aurora Energy's distribution network into Tasmanian Networks Pty Ltd, 1 July 2014 (memory). Successor: tasnetworks.",not_searched
trb,Teachers Registration Board of Tasmania,statutory,full,,,,unknown,,network_blocked_search_only,Teachers Registration Act 2000 (memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
treasury,Department of Treasury and Finance,agency,full,Treasurer (Eric Abetz),https://www.treasury.tas.gov.au/about-us/corporate-governance/right-to-information,https://www.treasury.tas.gov.au/about-us/corporate-governance/right-to-information/right-to-information-disclosure-log,unknown,snippet_verified,network_blocked_search_only,"Snippet: released information in broader public interest 'may be published within 48 hours'. Treasury also administers liquor and gaming regulation (Gaming Control Act, Liquor Licensing Act) and hosts TLGC material; an RTI internal-review release re TLGC player cards was seen at https://www.treasury.tas.gov.au/Documents/RTI%20-%20Internal%20Review%20-%20Meg%20Webb%20-%20Player%20Card%20Gaming%20(TLGC)%20-%20Final%20Information.pdf (Q26) - suggests releases are PDFs under /Documents/, but log page format not seen.",searched_found
tso,Tasmanian Symphony Orchestra,other,UNCERTAIN,,,,unknown,,network_blocked_search_only, No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
ttline,Spirit of Tasmania (TT-Line Company),soc,full,Minister for Infrastructure and Transport,https://www.spiritoftasmania.com.au/company-information/corporate-information/policies/,,none,none. ABC (search summary): TT-Line 'doesn't have to keep a public log of RTI requests'; the March 2026 motion named TT-Line and Tasracing. Summary also says TT-Line publishes some RTI releases where in the public interest - CONFLICTING/UNCERTAIN.,network_blocked_search_only,Slice b recorded 'none_known'; normalised to none. Finding: no public log discovered. [original: Portfolio minister title is memory; historically TT-Line sat with Infrastructure and Transport. Retained in public hands per May 2025 review (search summary).],searched_none_found
utas,University of Tasmania,university,full,Minister for Education (memory; UNCERTAIN),https://www.utas.edu.au/legal-services/compliance/right-to-information,,unknown,,network_blocked_search_only,"There is a second RTI page under public reporting: https://www.utas.edu.au/about/governance-leadership-and-strategy/public-reporting/right-to-information (snippet_verified). A UTAS Legal Services letter on an RTI review (8 May 2025) is indexed at https://www.utas.edu.au/__data/assets/pdf_file/0009/1817451/Letter-RTI-review-8.5.25.pdf. The snippet gives the fee as 25 fee units ($47.75 as at 1 July 2025). Controlled entities (e.g. the University Foundation, commercial subsidiaries) were NOT enumerated and their status is UNCERTAIN. Menzies Institute and Australian Maritime College are internal institutes, not separate authorities (memory). [merged from slice state_bodies: Explicitly named in s 5. Probably belongs to another slice - dedupe.]",not_searched
valuer_general,Valuer-General,statutory,full,,,,unknown,,network_blocked_search_only,Memory: Office of the Valuer-General in NRE. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
veterinary_board_tas,Veterinary Board of Tasmania,statutory,UNCERTAIN,,,,unknown,,auditor_memory_unverified,Added per audit #5. UNVERIFIED.,not_searched
waratah_wynyard_c,Waratah-Wynyard Council,council,full,Minister for Local Government (memory),https://www.warwyn.tas.gov.au/governance/transparency-and-accountability/,,unknown,,network_blocked_search_only,"Wynyard. ABS LGA code (memory, unverified): 65610. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
wellington_park,Wellington Park Management Trust,statutory,full,,,,unknown,,network_blocked_search_only,Wellington Park Act 1993 (memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
west_coast_c,West Coast Council,council,full,Minister for Local Government (memory),,,unknown,,network_blocked_search_only,"Queenstown. No dedicated RTI page URL was seen. The RTI form is probably on the forms-and-applications page (UNCERTAIN). rti_contact_email wcc@westcoast.tas.gov.au is snippet_verified (general council contact address, not a dedicated RTI address). ABS LGA code (memory, unverified): 65810. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
west_tamar_c,West Tamar Council,council,full,Minister for Local Government (memory),,,unknown,,network_blocked_search_only,"Riverside. The RTI text probably comes from the Governance page (https://www.wtc.tas.gov.au/council/governance/), but that is UNCERTAIN, so rti_page_url is null. ABS LGA code (memory, unverified): 66010. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
workcover_board,WorkCover Tasmania Board,statutory,full,,,,unknown,,network_blocked_search_only,Workers Rehabilitation and Compensation Act 1988 (memory). Current name UNCERTAIN. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
worksafe,WorkSafe Tasmania,business_unit,via_parent,,,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Memory: Workplace Standards/WorkSafe within Justice. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
